decoy_bad,seed,method,worst_case,robust_gap,avg_ref,decoy_mass,entropy,kl_to_ref,robust_opt_value
0.02,0,SPPO-avg,0.02431984869910875,0.27309439574067834,0.5236690354168531,0.988127300881321,0.07478928139549623,2.0046522602843395,0.2974142444397871
0.02,0,INPO-avg,0.2122330797265664,0.08518116471322068,0.5290391454320172,0.2430682513399359,1.8181146238808057,0.26132691779903006,0.2974142444397871
0.02,0,MNPO-hist-avg,0.20863004072781188,0.08878420371197521,0.51186915084754,0.14642879172414847,2.044230153353333,0.03521138832650292,0.2974142444397871
0.02,0,HT-MNPO-mix,0.21190133233955272,0.08551291210023437,0.5294767890684567,0.2313418907613384,1.8196392630559726,0.25980227862386324,0.2974142444397871
0.02,0,RONPO,0.2809696831580057,0.0164445612817814,0.5301506535704429,0.3146082128566051,1.4244396866811253,0.6550018549987103,0.2974142444397871
0.02,1,SPPO-avg,0.022805435901618296,0.2736191553507433,0.5236966460888747,0.9881185401824512,0.07467213746821547,2.00476940421162,0.29642459125236165
0.02,1,INPO-avg,0.20531527943323963,0.09110931181912202,0.5305403057186463,0.24527040209685502,1.8079216821808204,0.27151985949901486,0.29642459125236165
0.02,1,MNPO-hist-avg,0.2091463475301168,0.08727824372224485,0.512685471601738,0.14660665851509966,2.0420138383160458,0.037427703363790005,0.29642459125236165
0.02,1,HT-MNPO-mix,0.20405225285525602,0.09237233839710562,0.5308968245256326,0.23393690122403601,1.8076708522457756,0.2717706894340601,0.29642459125236165
0.02,1,RONPO,0.2810792090619134,0.015345382190448231,0.5323428039577255,0.3147206937598613,1.423363077389751,0.656078464290085,0.29642459125236165
0.02,2,SPPO-avg,0.022281130989003962,0.29035225469766623,0.5237094077723811,0.9881358272912989,0.07388845527661432,2.0055530864032214,0.3126333856866702
0.02,2,INPO-avg,0.19407631374213768,0.11855707194453252,0.5281611505117115,0.24205911967553467,1.8228134980250132,0.25662804365482283,0.3126333856866702
0.02,2,MNPO-hist-avg,0.2050566124104201,0.10757677327625009,0.5110297717401239,0.14623332788072604,2.0465981910103634,0.0328433506694725,0.3126333856866702
0.02,2,HT-MNPO-mix,0.1923817553571964,0.12025163032947381,0.5286606665415833,0.23168000603898997,1.8191819259452753,0.26025961573456036,0.3126333856866702
0.02,2,RONPO,0.28077986376823877,0.03185352191843144,0.5257495822539511,0.3144146471883661,1.4266101383370091,0.6528314033428266,0.3126333856866702
0.02,3,SPPO-avg,0.0225790476418185,0.2724371687594577,0.5237053503122474,0.988136624560108,0.07390697744747343,2.0055345642323625,0.29501621640127623
0.02,3,INPO-avg,0.19981496725477735,0.09520124914649888,0.5280641851465349,0.2417834456778509,1.824099948121603,0.2553415935582328,0.29501621640127623
0.02,3,MNPO-hist-avg,0.2055454378061962,0.08947077859508004,0.5110458066450702,0.14623439791775783,2.046571495119081,0.03287004656075469,0.29501621640127623
0.02,3,HT-MNPO-mix,0.1985769826478086,0.09643923375346763,0.5287009265905468,0.2314599823017037,1.8198997464270925,0.2595417952527435,0.29501621640127623
0.02,3,RONPO,0.2807950691032979,0.014221147297978354,0.5256930624691326,0.31442155901575863,1.4267031797447063,0.6527383619351291,0.29501621640127623
0.02,4,SPPO-avg,0.02235612097851214,0.2975691990200694,0.5236492482703626,0.9881367375827901,0.07484646690428855,2.0045950747755468,0.31992531999858154
0.02,4,INPO-avg,0.19708788938884195,0.12283743060973959,0.5284545374575246,0.24224806755206624,1.8219323452002436,0.25750919647959203,0.31992531999858154
0.02,4,MNPO-hist-avg,0.2073417375929782,0.11258358240560334,0.5114356259098556,0.14632413242550546,2.045478779401008,0.033962762278828246,0.31992531999858154
0.02,4,HT-MNPO-mix,0.1952891583371592,0.12463616166142233,0.5287814832786114,0.23149590463754288,1.8192997532200539,0.2601417884597822,0.31992531999858154
0.02,4,RONPO,0.2809795426098988,0.03894577738868271,0.5300491627014848,0.31458805110699095,1.4247264562876831,0.6547150853921527,0.31992531999858154
0.02,5,SPPO-avg,0.022327499201210316,0.28348477829427393,0.5236565498612807,0.9881398313290016,0.07490646313175259,2.0045350785480833,0.30581227749548423
