method,worst_case,robust_gap,avg_ref,entropy,kl_to_ref,robust_opt_value,decoy_mass
SPPO-avg,0.060138144283542895,0.23383567782826156,0.5350071244273672,0.0047151696397795834,2.074726372040057,0.29397382211180445,0.9995118192397685
INPO-avg,0.20976186260731233,0.08421195950449212,0.5297847223723099,1.8062397407687247,0.2732018009111111,0.29397382211180445,0.2899150074217744
MNPO-hist-avg,0.21250986806307268,0.08146395404873177,0.5123240693801393,2.0429612444212912,0.03648029725854414,0.29397382211180445,0.15663697098352852
HT-MNPO-mix,0.20883977955958166,0.08513404255222279,0.5300349749960297,1.8112236263194277,0.26821791536040807,0.29397382211180445,0.27822225930352185
RONPO,0.2880738378984683,0.005899984213336151,0.5331709305917297,1.3864971357761648,0.6929444059036713,0.29397382211180445,0.34037595867270615
