kappa,method,n,worst_case_mean,worst_case_se,robust_gap_mean,robust_gap_se,avg_ref_mean,avg_ref_se,decoy_mass_mean,decoy_mass_se,entropy_mean,entropy_se,kl_to_ref_mean,kl_to_ref_se,adversary_entropy_mean,adversary_entropy_se
0.005,RONPO,10,0.30299207686099816,3.304013463304926e-07,0.001948566487242731,0.003548019255197526,0.5291280890075097,0.0009035234637168924,0.3030991657961216,7.167019434871208e-07,1.386554787020137,4.878255159956074e-07,0.6928867546596986,4.878255159645495e-07,1.0811750570083571,4.1315149987981937e-07
0.01,RONPO,10,0.3018414299995043,1.806831882461717e-07,0.0030992133487366346,0.0035479853356321996,0.5291287574253417,0.0008985325700328954,0.30580794403552525,3.5153033140695656e-07,1.3875318403018189,5.960393603527949e-07,0.6919097013780169,5.960393603620514e-07,1.0877992420411149,2.60316047428459e-06
0.02,RONPO,10,0.2994236325353906,1.7076510970692926e-08,0.005517010812850304,0.003547975387856619,0.5294859324180304,0.0008909161989834873,0.3140875223419818,1.1338342113191066e-07,1.3809434148768551,4.0333906827927335e-07,0.6984981268029806,4.0333906826621755e-07,1.1529727949265467,4.053801084921137e-06
0.05,RONPO,10,0.28798568473696173,3.314485265035363e-05,0.01695495861127916,0.0035443661032361815,0.5305811090370606,0.0008506999880955617,0.3403043943353535,2.9565900808166743e-05,1.3876129142480784,0.0003747857571832283,0.6918286274317575,0.0003747857571832165,1.5749750670962812,0.0015703722146719033
0.1,RONPO,10,0.2731562196844192,0.000355802531055644,0.031784423663821705,0.0034935576604365696,0.5304972471844337,0.0008166727572432877,0.3138440661822382,0.00031944542699160214,1.556696243914634,0.0030093867092346096,0.5227452977652017,0.003009386709234593,2.4173429703651923,0.00329512779945214
0.2,RONPO,10,0.25642119110366385,0.0009645914885381726,0.04851945224457711,0.0034366210918075676,0.5315367252434081,0.0009265618547909527,0.25435778944480203,0.0011198445545518554,1.7213498011265327,0.005401506964850797,0.3580917405533031,0.005401506964850815,2.933689668165318,0.001941621533886813
0.5,RONPO,10,0.23953489871869973,0.0016763066284170667,0.06540574462954116,0.0034616533410191446,0.5333397173038625,0.0011778407366079893,0.20043650456833523,0.002106759354161454,1.7802250941664137,0.007451239665637081,0.2992164475134218,0.007451239665637077,3.135086439784552,0.0005352540232471889
1.0,RONPO,10,0.2320987836959325,0.0020346873480078733,0.07284185965230841,0.0035193609546489714,0.5341348133871258,0.0012885632879089614,0.18352792549317826,0.0023906043487116747,1.780454288642757,0.009025516986507635,0.298987253037079,0.009025516986507649,3.1671239611488926,0.00014996690375688524
