batch_size,method,n,worst_case_mean,worst_case_se,robust_gap_mean,robust_gap_se,avg_ref_mean,avg_ref_se,decoy_mass_mean,decoy_mass_se,entropy_mean,entropy_se,kl_to_ref_mean,kl_to_ref_se
8,RONPO-stochastic,10,0.20141786346914525,0.0055350051598877835,0.10352277987909564,0.007484926817551065,0.4997434417658888,0.0025833167484242063,0.10908768871380677,0.014553793535145977,1.9688252284383434,0.02477355971723175,0.11061631324149264,0.02477355971723174
16,RONPO-stochastic,10,0.22147731255224815,0.00707150005580767,0.08346333079599276,0.00803098692057476,0.5029999260006848,0.0019204750437932239,0.13457445308701058,0.01743794963090161,1.9454508861037827,0.026896477435169888,0.13399065557605322,0.02689647743516988
32,RONPO-stochastic,10,0.22531242898142856,0.005420316508469166,0.07962821436681233,0.0060959826544231014,0.5126933479047604,0.0019938849671807942,0.17250714632332473,0.027567303117844794,1.8774379178845688,0.026117002551390545,0.20200362379526693,0.026117002551390538
64,RONPO-stochastic,10,0.24017689555437022,0.006523446903598053,0.0647637477938707,0.00878564996787392,0.5119529934675449,0.0020526284930038456,0.20262353357142598,0.00899397478755138,1.8931228719117286,0.029843085719273223,0.18631866976810701,0.029843085719273212
128,RONPO-stochastic,10,0.24500428263964738,0.005533902252716509,0.05993636070859352,0.007198036758127968,0.5192811663705614,0.0013380912423990388,0.26645144749717364,0.009079481049092543,1.7959283729842739,0.026665031860279992,0.283513168695562,0.026665031860279992
256,RONPO-stochastic,10,0.2425274325988945,0.002597210579072517,0.062413210749346394,0.0036759111198987927,0.5209901741238105,0.0010498716523090394,0.26212664027096444,0.006404978985720364,1.8297889286559452,0.019350049126317048,0.24965261302389047,0.01935004912631702
512,RONPO-stochastic,10,0.25372560432340807,0.0024920288864750885,0.05121503902483289,0.004420016282926491,0.5201494418470426,0.0010423668444229609,0.24188836411628012,0.006302823261083582,1.829744811897355,0.01327839473901615,0.24969672978248117,0.013278394739016177
