mean_prompt_norm_score,mean_prompt_norm_score_ci95_high,mean_prompt_norm_score_ci95_low,mean_raw_score,mean_raw_score_ci95_high,mean_raw_score_ci95_low,model,objective,win_rate_vs_baseline,win_rate_vs_baseline_ci95_high,win_rate_vs_baseline_ci95_low
0.47774781868585575,0.5053038897475047,0.44930206615478463,0.7939356115480133,0.8055733585989239,0.7818723564905836,base,helpfulness,,,
0.5109849748368289,0.5372856822832024,0.4844727358743015,0.7968119438120861,0.8079510619308775,0.7853966315061052,ronpo_full_expect,helpfulness,0.5215231788079471,0.5554842715231787,0.48921771523178803
0.47715511266143024,0.5047842732861691,0.4492027961125095,0.7934489471233444,0.8051354818786217,0.7816216273023592,ronpo_k_only,helpfulness,0.49751655629139074,0.5323054635761588,0.4644039735099338
0.5049686744913543,0.5331284278461512,0.47737378939503855,0.7962606063741722,0.8078728480054843,0.7843990502768006,ipo,helpfulness,0.5289735099337748,0.5620860927152318,0.4958609271523179
0.5055844708080116,0.5340691313820192,0.47847165371410494,0.7942007709023179,0.8057384364652318,0.7818157271833609,simpo,helpfulness,0.5298013245033113,0.5645695364238411,0.4958609271523179
0.5095713352024779,0.5374213322812281,0.48171193092694503,0.7958111289321192,0.8070590189750622,0.7845716463808982,sppo_avg,helpfulness,0.5124172185430463,0.5463783112582781,0.47928394039735095
0.5143192348436374,0.541609508357119,0.4884804358363976,0.7960407181291391,0.8073041296952608,0.7844178862919081,inpo_avg,helpfulness,0.5298013245033113,0.5662251655629139,0.49420529801324503
0.5057362689554986,0.5339205834220394,0.47917329386135254,0.7952791933981788,0.8071019861082368,0.7835859892384106,ht_mnpo_helpfulness,helpfulness,0.5215231788079471,0.554635761589404,0.48838990066225163
0.5222476202847645,0.5497565977167251,0.4935295226143057,0.797041533009106,0.8085327956850166,0.7853946913157077,ht_mnpo_safety,helpfulness,0.5413907284768212,0.5753311258278145,0.5033112582781457
0.5350178796556997,0.5631934221798468,0.5071767388265819,0.7971579444329471,0.8084619383148799,0.7855145789140108,ht_mnpo_conciseness,helpfulness,0.5480132450331126,0.5836092715231788,0.5132450331125827
0.4958531193661629,0.5246507229502881,0.4681315687740869,0.8756580479097682,0.891082763671875,0.8595426243662045,base,safety,,,
0.4994669186999204,0.5271411240233475,0.47044721655578037,0.8751325796771523,0.8904580627845612,0.8594555179014901,ronpo_full_expect,safety,0.49503311258278143,0.5298013245033113,0.4586092715231788
0.5185057661655965,0.5445011411202956,0.4927425605264729,0.8774640418046358,0.8930037542684188,0.8612749314466059,ronpo_k_only,safety,0.5008278145695364,0.5347682119205298,0.46357615894039733
0.4975734811878631,0.5246195870087403,0.4713387234621806,0.874807597785596,0.8908126325796771,0.8592412077038494,ipo,safety,0.5041390728476821,0.5380794701986755,0.47102649006622516
