rho,seed,method,worst_case,robust_gap,avg_ref,entropy,kl_to_ref,robust_opt_value
0.0,0,SPPO-avg,0.20141943007323493,0.12261098860034342,0.5539975637060595,1.4194935326923706,1.0654131170956789,0.32403041867357835
0.0,0,INPO-avg,0.2925859573740525,0.03144446129952583,0.5217328518826281,2.280026302113263,0.20488034767473762,0.32403041867357835
0.0,0,MNPO-hist-avg,0.3257679483365622,-0.00173752966298385,0.5112277044021003,2.451335209926083,0.033571439861917726,0.32403041867357835
0.0,0,HT-MNPO-mix,0.28949386835176566,0.03453655032181269,0.5217046586385589,2.2734970390212283,0.21140961076677206,0.32403041867357835
0.0,0,RONPO,0.37408370690416143,-0.05005328823058308,0.5110791564164476,2.4139285532785113,0.07097809650948927,0.32403041867357835
0.0,1,SPPO-avg,0.10581708270249993,0.13821766602003657,0.5353298797891809,1.3944752298831378,1.0904314199059357,0.2440347487225365
0.0,1,INPO-avg,0.2561458588253944,-0.012111110102857925,0.5287897122255837,2.223551533856648,0.26135511593135197,0.2440347487225365
0.0,1,MNPO-hist-avg,0.24319500407774836,0.0008397446447881429,0.5129715574143401,2.4465792044945567,0.03832744529344373,0.2440347487225365
0.0,1,HT-MNPO-mix,0.25649241457110733,-0.012457665848570831,0.5294424421108804,2.206914661273821,0.2779919885141796,0.2440347487225365
0.0,1,RONPO,0.30892740860915324,-0.06489265988661674,0.5110534909536912,2.31089447325893,0.17401217652907042,0.2440347487225365
0.0,2,SPPO-avg,0.025617585215354212,0.26809892258201673,0.5379065146244131,0.666367476800144,1.8185391729882276,0.29371650779737096
0.0,2,INPO-avg,0.2620890338824206,0.031627473914950355,0.5259478771757701,2.221795952041774,0.2631106977462263,0.29371650779737096
0.0,2,MNPO-hist-avg,0.26002412055312674,0.033692387244244226,0.5138446499861946,2.443528921581623,0.041377728206376654,0.29371650779737096
0.0,2,HT-MNPO-mix,0.25679079125929244,0.036925716538078523,0.526493057011018,2.2051407621736425,0.2797658876143579,0.29371650779737096
0.0,2,RONPO,0.337722668390959,-0.04400616059358803,0.5000385529432169,2.425004876545334,0.05990177324266582,0.29371650779737096
0.0,3,SPPO-avg,0.04458343055229295,0.2142045044958956,0.5337537549140032,1.466846300085734,1.018060349702266,0.25878793504818853
0.0,3,INPO-avg,0.21146540054297872,0.04732253450520982,0.5110465793990556,2.374861678242934,0.11004497154506625,0.25878793504818853
0.0,3,MNPO-hist-avg,0.22273570074204252,0.036052234306146014,0.5055819427299355,2.467558474894196,0.017348174893804975,0.25878793504818853
0.0,3,HT-MNPO-mix,0.21167522386139853,0.04711271118679,0.5112655824922767,2.3673925353729106,0.11751411441508952,0.25878793504818853
0.0,3,RONPO,0.2601328901419455,-0.0013449550937569832,0.5075755742250843,2.336672138820615,0.14823451096738535,0.25878793504818853
0.0,4,SPPO-avg,0.09459666222540802,0.20771219620070785,0.5485467429442721,1.0823036762550662,1.4026029735339958,0.3023088584261159
0.0,4,INPO-avg,0.24185138506122275,0.06045747336489313,0.5212735982485956,2.289946498820607,0.1949601509673932,0.3023088584261159
0.0,4,MNPO-hist-avg,0.29641097940687294,0.005897879019242935,0.5083591648448305,2.4601572721184275,0.02474937766957231,0.3023088584261159
0.0,4,HT-MNPO-mix,0.23986203515755616,0.062446823268559715,0.5215298978520166,2.283771628074122,0.2011350217138785,0.3023088584261159
0.0,4,RONPO,0.33575583222253963,-0.03344697379642375,0.5061866985581954,2.439240679263647,0.04566597052435336,0.3023088584261159
0.0,5,SPPO-avg,0.08594233137493788,0.25826428138799096,0.5737016731972762,0.6903970045038088,1.794509645285498,0.34420661276292885
0.0,5,INPO-avg,0.2595291518803449,0.08467746088258393,0.5355125142879673,2.108135109137744,0.3767715406502562,0.34420661276292885
0.0,5,MNPO-hist-avg,0.3299303160866026,0.014276296676326239,0.5122600965484485,2.4476384921614764,0.03726815762652428,0.34420661276292885
0.0,5,HT-MNPO-mix,0.24935376754358804,0.09485284521934081,0.5366304939544378,2.07671025255403,0.4081963972339701,0.34420661276292885
0.0,5,RONPO,0.37449067516233714,-0.030284062399408285,0.512584180465746,2.4055587381612833,0.07934791162671673,0.34420661276292885
0.0,6,SPPO-avg,0.11234300674763018,0.17779919102758798,0.49987825530505087,1.5123845286126365,0.9725221211753639,0.29014219777521816
0.0,6,INPO-avg,0.2716077989891262,0.018534398786091977,0.5158935230416206,2.330396000859823,0.15451064892817706,0.29014219777521816
0.0,6,MNPO-hist-avg,0.29051902740126845,-0.00037682962605029013,0.5081271749741716,2.4597729146947005,0.025133735093300323,0.29014219777521816
0.0,6,HT-MNPO-mix,0.2673163403623547,0.02282585741286347,0.5158368228099235,2.3271981312244012,0.1577085185635992,0.29014219777521816
0.0,6,RONPO,0.360540687719436,-0.07039848994421782,0.5107516562330825,2.3149763811022157,0.16993026868578393,0.29014219777521816
0.0,7,SPPO-avg,0.17212553677663495,0.06514883238648711,0.522116071580469,1.5924045983646327,0.8925020514237065,0.23727436916312206
0.0,7,INPO-avg,0.23680226632908374,0.00047210283403831266,0.5187991844345781,2.332878017368975,0.15202863241902492,0.23727436916312206
0.0,7,MNPO-hist-avg,0.23545552422249222,0.001818844940629838,0.5091179165823384,2.4585694624961096,0.02633718729189056,0.23727436916312206
0.0,7,HT-MNPO-mix,0.23661648573366206,0.0006578834294599933,0.5188958993455886,2.3302281564250817,0.1546784933629189,0.23727436916312206
0.0,7,RONPO,0.29187036968680447,-0.05459600052368241,0.5106137022122169,2.3307139393049683,0.1541927104830324,0.23727436916312206
0.0,8,SPPO-avg,0.10168980664257225,0.20708840264342593,0.4825477903663712,1.9343016474009442,0.5506050023871787,0.3087782092859982
0.0,8,INPO-avg,0.23737651357730088,0.07140169570869731,0.5170476381773546,2.3320501560163285,0.1528564937716718,0.3087782092859982
0.0,8,MNPO-hist-avg,0.28920961619825514,0.019568593087743058,0.5104586626552259,2.4537634832508273,0.031143166537173108,0.3087782092859982
0.0,8,HT-MNPO-mix,0.2355951250792735,0.0731830842067247,0.5168902209292565,2.331099387129723,0.15380726265827668,0.3087782092859982
0.0,8,RONPO,0.3269102119544542,-0.018132002668455993,0.5152429361661278,2.3524887520309803,0.13241789775702034,0.3087782092859982
0.0,9,SPPO-avg,0.09792261583207187,0.21791388063544406,0.5532811434096828,1.2987343303651062,1.186172319423682,0.31583649646751594
0.0,9,INPO-avg,0.29936384342432093,0.016472653043195007,0.5418503263292019,2.1009011156340507,0.3840055341539494,0.31583649646751594
0.0,9,MNPO-hist-avg,0.25764850685294993,0.058187989614566005,0.5198324443097805,2.4235315573955862,0.06137509239241424,0.31583649646751594
0.0,9,HT-MNPO-mix,0.29931809875880344,0.016518397708712496,0.5418831948606899,2.092758667938543,0.3921479818494574,0.31583649646751594
