condition,alpha,method,n_seeds,true_min_surplus_mean,true_min_surplus_std,true_avg_surplus_mean,true_nash_welfare_mean,true_exploitability_mean,bt_deviance_mean,distance_to_nbpo_target_mean,reference_min_surplus_mean
matched_step,0.0,BT-RM-Nash,5,0.09325703774912833,0.01600073214814516,0.11141252250708075,-8.842843019063807,0.33021717566542497,0.004803586053091502,,0.0
matched_step,0.0,BT-RM-utilitarian,5,0.08171363436313624,0.02442886564435683,0.11180461945357749,-8.906977954066253,0.33000914599631304,0.004803586053091502,,0.0
matched_step,0.0,Fixed-reference Nash,5,0.09407438809820157,0.013108817462836469,0.10617507285435808,-8.998871673763196,0.3275256424497,0.004803586053091502,,0.0
matched_step,0.0,Game-utilitarian,5,0.08216721199462909,0.019829686448749186,0.10746422927031851,-9.024272342113147,0.3229802442511998,0.004803586053091502,,0.0
matched_step,0.0,NBPO,5,0.09700490223992167,0.011884779095366553,0.10663254991567972,-8.975539350179023,0.32271345272050145,0.004803586053091502,,0.0
matched_step,0.25,BT-RM-Nash,5,0.06136586044231185,0.009983987221475319,0.07460459130243724,-10.454574591640274,0.30061901897430554,0.06832308419066464,,0.0
matched_step,0.25,BT-RM-utilitarian,5,0.05257820378232693,0.011088793797820363,0.07496207818459752,-10.533687366028179,0.29994172655526935,0.06832308419066464,,0.0
matched_step,0.25,Fixed-reference Nash,5,0.06444361488643532,0.006245723883454333,0.07383958037920761,-10.455807208874852,0.2854015751296168,0.06832308419066464,,0.0
matched_step,0.25,Game-utilitarian,5,0.05717258101959545,0.012245243878946177,0.07424555524412588,-10.502858620441415,0.2745900701270134,0.06832308419066464,,0.0
matched_step,0.25,NBPO,5,0.06614649661269509,0.0069070906136928685,0.0733696835516497,-10.469586445650856,0.27348034726366466,0.06832308419066464,,0.0
matched_step,0.5,BT-RM-Nash,5,0.000904000717833054,0.0035733797034835386,0.014202145696003731,-18.58865521694103,0.32007202259259365,0.2112989647372588,,0.0
matched_step,0.5,BT-RM-utilitarian,5,-0.0030553352760727807,0.005587809718634313,0.014293221792633823,-17.654773225042792,0.3213318668290367,0.2112989647372588,,0.0
matched_step,0.5,Fixed-reference Nash,5,0.017114416708490073,0.0033498558548062706,0.025395093414417914,-14.918153978528045,0.2884814599599904,0.2112989647372588,,0.0
matched_step,0.5,Game-utilitarian,5,-0.0003837074733601412,0.004595503324166133,0.014896881643063709,-18.367206057626856,0.311543142703438,0.2112989647372588,,0.0
matched_step,0.5,NBPO,5,0.0037737804713715837,0.005573100534948505,0.01454989939411699,-17.675997298096718,0.30950600865672684,0.2112989647372588,,0.0
matched_step,0.75,BT-RM-Nash,5,-0.07409934186344794,0.0058132055237100555,-0.06377908489691445,,0.3677272582706811,0.4452642105183836,,0.0
matched_step,0.75,BT-RM-utilitarian,5,-0.07890829668766551,0.0036853898276695677,-0.06468273092363257,,0.3694684035887849,0.4452642105183836,,0.0
matched_step,0.75,Fixed-reference Nash,5,-0.04198899119332532,0.005136567736158648,-0.03467528025358354,,0.32406219431719446,0.4452642105183836,,0.0
matched_step,0.75,Game-utilitarian,5,-0.0791211146950819,0.005741708937615287,-0.06880099014133488,,0.34596171786524266,0.4452642105183836,,0.0
matched_step,0.75,NBPO,5,-0.08147738499867689,0.00597937138405983,-0.07034973358372767,,0.34684135657015436,0.4452642105183836,,0.0
matched_step,1.0,BT-RM-Nash,5,-0.13484522713424069,0.016592356845246816,-0.1286567162264331,,0.42778019977278425,0.849292670153806,,0.0
