model,n,mean_objective_norm_score,min_objective_norm_score,std_objective_norm_score,mean_win_rate_vs_baseline,min_win_rate_vs_baseline
baseline,647,0.48516428547718776,0.40993087805152667,0.062086679627952765,nan,nan
htmnpo_skywork_s2,647,0.5020170253755222,0.4735407625641232,0.020149600029448343,0.5229263266357548,0.4752704791344668
htmnpo_athene_s2,647,0.38814856812762333,0.337151096919333,0.04425337878974497,0.43843379701184954,0.3802163833075734
htmnpo_armo_s2,647,0.41480118292421153,0.3701568602735198,0.04333947265103451,0.45363214837712523,0.3786707882534776
ronpo_s2_ckpt1400,647,0.6827230832099868,0.6568961445114809,0.021531670847559442,0.646573930963421,0.6035548686244204
ronpo_s2_ckpt2457,647,0.7025254156849554,0.6700873273921496,0.02389192913377222,0.6604842864502833,0.6004636785162287
