model,n,mean_objective_norm_score,min_objective_norm_score,std_objective_norm_score,mean_win_rate_vs_baseline,min_win_rate_vs_baseline
baseline,162,0.5246183137140351,0.3787927406021665,0.10465478595145547,nan,nan
htmnpo_skywork_s2,162,0.4956172547711137,0.45497176077631074,0.04526586332102474,0.4794238683127572,0.345679012345679
htmnpo_athene_s2,162,0.4328936581842176,0.33924227062930457,0.07929623440031608,0.4279835390946502,0.33024691358024694
htmnpo_armo_s2,162,0.4813721183135899,0.4112876361532065,0.08211615211598165,0.46810699588477367,0.36419753086419754
ronpo_s2_ckpt1400,162,0.5694203634696415,0.5487473683709081,0.023080893213867637,0.5339506172839507,0.45987654320987653
ronpo_s2_ckpt2457,162,0.6017616688803078,0.5732518649634964,0.02482364091390625,0.5761316872427983,0.48148148148148145
