model,objective,n,mean_prompt_norm_score,mean_raw_score,win_rate_vs_baseline
baseline,skywork,162,0.3787927406021665,5.55750114535108,nan
baseline,athene,162,0.5756196191752618,-0.7375661590952932,nan
baseline,armo,162,0.6194425813646771,0.10966698917341822,nan
htmnpo_skywork_s2,skywork,162,0.5587705450377216,7.337414400077161,0.654320987654321
htmnpo_skywork_s2,athene,162,0.47310945849930863,-0.9375561372733411,0.4382716049382716
htmnpo_skywork_s2,armo,162,0.45497176077631074,0.10161411615065587,0.345679012345679
htmnpo_athene_s2,skywork,162,0.5331412799677319,6.703450520833333,0.5895061728395061
htmnpo_athene_s2,athene,162,0.33924227062930457,-1.1076873967676988,0.33024691358024694
htmnpo_athene_s2,armo,162,0.42629742395561643,0.09707792305652006,0.36419753086419754
htmnpo_armo_s2,skywork,162,0.5966061150656443,7.492537133487654,0.6574074074074074
htmnpo_armo_s2,athene,162,0.4112876361532065,-0.9886998306086034,0.38271604938271603
htmnpo_armo_s2,armo,162,0.43622260372191873,0.10159499556929977,0.36419753086419754
ronpo_s2_ckpt1400,skywork,162,0.5487473683709081,6.9857102382330245,0.6111111111111112
ronpo_s2_ckpt1400,athene,162,0.6016329187662521,-0.7002480589313271,0.5308641975308642
ronpo_s2_ckpt1400,armo,162,0.5578808032717644,0.10763041178385417,0.45987654320987653
ronpo_s2_ckpt2457,skywork,162,0.5732518649634964,7.196997371720679,0.654320987654321
ronpo_s2_ckpt2457,athene,162,0.6337567239610111,-0.6518066547535084,0.5925925925925926
ronpo_s2_ckpt2457,armo,162,0.5982764177164159,0.10893769911777826,0.48148148148148145
