method,n,worst_case_mean,worst_case_se,robust_gap_mean,robust_gap_se,avg_ref_mean,avg_ref_se,decoy_mass_mean,decoy_mass_se,entropy_mean,entropy_se,kl_to_ref_mean,kl_to_ref_se,adversary_entropy_mean,adversary_entropy_se,objective2_adversary_mass_mean,objective2_adversary_mass_se
RONPO,10,0.28798568473696173,3.314485265035363e-05,0.01695495861127916,0.0035443661032361815,0.5305811090370606,0.0008506999880955617,0.3403043943353535,2.9565900808166743e-05,1.3876129142480784,0.0003747857571832283,0.6918286274317575,0.0003747857571832165,1.5749750670962812,0.0015703722146719033,0.43565354857064753,1.3216683440680683e-05
RONPO-fixed-sigma,10,0.2231558149357716,0.0025298786845438324,0.0817848284124693,0.003661093722186958,0.5349958541740791,0.001396826374259847,0.1707558607906326,0.0027282268138770524,1.7688413605014535,0.011145248905072687,0.310600181178382,0.01114524890507268,3.1780538303479453,0.0,0.33333333333333337,1.850371707708594e-17
