model,display,mean_pairwise_win_rate,num_matchups,ci_low,ci_high,bootstrap_iterations
ronpo_s2_ckpt2457,RONPO S2 checkpoint-2457,0.6243005669615694,5,0.5929182671339933,0.6535240849466766,200
ronpo_s2_ckpt1400,RONPO S2 checkpoint-1400,0.5919649932462184,5,0.5589942371450249,0.6195027360589983,200
baseline,Base,0.5638684638200274,5,0.5292210377519376,0.6000195960638361,200
htmnpo_skywork_s2,HT-MNPO Skywork S2,0.5033077366307861,5,0.4765514739755651,0.5313896137176097,200
htmnpo_armo_s2,HT-MNPO ArmoRM S2,0.3994519120295712,5,0.36982157620673844,0.4302869721208836,200
htmnpo_athene_s2,HT-MNPO Athene S2,0.3171063273118273,5,0.28860149750783426,0.34996335837966946,200
