left_model,right_model,n,left_win_rate,right_win_rate,tie_rate,mean_confidence,ci_low,ci_high,bootstrap_iterations
baseline,htmnpo_armo_s2,399,0.6215538847117794,0.3784461152882206,0.05513784461152882,0.8245363408521303,0.5771640409715567,0.6696062064601738,200
baseline,htmnpo_athene_s2,397,0.6851385390428212,0.3148614609571788,0.04534005037783375,0.8272040302267003,0.6358919597989949,0.7294576059850375,200
baseline,htmnpo_skywork_s2,398,0.5640703517587939,0.43592964824120606,0.05778894472361809,0.814748743718593,0.5114756805476921,0.6061359489051096,200
baseline,ronpo_s2_ckpt1400,391,0.5012787723785166,0.4987212276214834,0.04603580562659847,0.8249616368286445,0.4550657518489153,0.5461996358569814,200
baseline,ronpo_s2_ckpt2457,389,0.4473007712082262,0.5526992287917738,0.04627249357326478,0.8275064267352185,0.3897770093778101,0.4946771498771499,200
htmnpo_armo_s2,ronpo_s2_ckpt1400,388,0.3324742268041237,0.6675257731958764,0.04639175257731959,0.8158762886597938,0.2952940880972543,0.37325059808612443,200
htmnpo_armo_s2,ronpo_s2_ckpt2457,391,0.319693094629156,0.6803069053708439,0.056265984654731455,0.8144501278772378,0.2740712225803505,0.3674530948235999,200
htmnpo_athene_s2,htmnpo_armo_s2,411,0.43309002433090027,0.5669099756690997,0.15085158150851583,0.8252798053527981,0.39333434471488055,0.47683899222085746,200
htmnpo_athene_s2,ronpo_s2_ckpt1400,376,0.26861702127659576,0.7313829787234043,0.06382978723404255,0.8255851063829788,0.22863005345027523,0.3172442207963435,200
htmnpo_athene_s2,ronpo_s2_ckpt2457,383,0.2545691906005222,0.7454308093994778,0.08093994778067885,0.8337859007832898,0.21328975741239894,0.2982192619192076,200
htmnpo_skywork_s2,htmnpo_armo_s2,379,0.600263852242744,0.39973614775725597,0.10817941952506596,0.8168337730870713,0.5610660847880299,0.6519308312655087,200
htmnpo_skywork_s2,htmnpo_athene_s2,396,0.6856060606060606,0.31439393939393945,0.09848484848484848,0.8184848484848485,0.6403356950067477,0.7281849388873496,200
htmnpo_skywork_s2,ronpo_s2_ckpt1400,392,0.4119897959183674,0.5880102040816326,0.09438775510204081,0.8103061224489796,0.37193926415844447,0.4546103896103896,200
htmnpo_skywork_s2,ronpo_s2_ckpt2457,371,0.38274932614555257,0.6172506738544474,0.12398921832884097,0.8176010781671159,0.3393616984438088,0.42546177282681136,200
ronpo_s2_ckpt1400,ronpo_s2_ckpt2457,368,0.4741847826086957,0.5258152173913043,0.37228260869565216,0.8361141304347826,0.43610314207650275,0.5098540991199629,200
