custom_id,prompt_id,left_model,right_model,model_a,model_b,order,input_tokens_est
ronpo-s2-gpt55|002726251bd3b217de117a9d54ea74296a9a2712|baseline|ronpo_s2_ckpt1400|flip,002726251bd3b217de117a9d54ea74296a9a2712,baseline,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,baseline,flip,6702.5
ronpo-s2-gpt55|002726251bd3b217de117a9d54ea74296a9a2712|baseline|ronpo_s2_ckpt2457|flip,002726251bd3b217de117a9d54ea74296a9a2712,baseline,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,baseline,flip,10788.2
ronpo-s2-gpt55|002726251bd3b217de117a9d54ea74296a9a2712|htmnpo_skywork_s2|htmnpo_athene_s2|keep,002726251bd3b217de117a9d54ea74296a9a2712,htmnpo_skywork_s2,htmnpo_athene_s2,htmnpo_skywork_s2,htmnpo_athene_s2,keep,10364.0
ronpo-s2-gpt55|002726251bd3b217de117a9d54ea74296a9a2712|htmnpo_skywork_s2|htmnpo_armo_s2|flip,002726251bd3b217de117a9d54ea74296a9a2712,htmnpo_skywork_s2,htmnpo_armo_s2,htmnpo_armo_s2,htmnpo_skywork_s2,flip,10564.0
ronpo-s2-gpt55|002726251bd3b217de117a9d54ea74296a9a2712|htmnpo_skywork_s2|ronpo_s2_ckpt1400|keep,002726251bd3b217de117a9d54ea74296a9a2712,htmnpo_skywork_s2,ronpo_s2_ckpt1400,htmnpo_skywork_s2,ronpo_s2_ckpt1400,keep,6306.8
ronpo-s2-gpt55|002726251bd3b217de117a9d54ea74296a9a2712|htmnpo_skywork_s2|ronpo_s2_ckpt2457|keep,002726251bd3b217de117a9d54ea74296a9a2712,htmnpo_skywork_s2,ronpo_s2_ckpt2457,htmnpo_skywork_s2,ronpo_s2_ckpt2457,keep,10392.5
ronpo-s2-gpt55|002726251bd3b217de117a9d54ea74296a9a2712|htmnpo_athene_s2|htmnpo_armo_s2|keep,002726251bd3b217de117a9d54ea74296a9a2712,htmnpo_athene_s2,htmnpo_armo_s2,htmnpo_athene_s2,htmnpo_armo_s2,keep,10714.0
ronpo-s2-gpt55|002726251bd3b217de117a9d54ea74296a9a2712|htmnpo_athene_s2|ronpo_s2_ckpt1400|flip,002726251bd3b217de117a9d54ea74296a9a2712,htmnpo_athene_s2,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,htmnpo_athene_s2,flip,6456.8
ronpo-s2-gpt55|002726251bd3b217de117a9d54ea74296a9a2712|htmnpo_athene_s2|ronpo_s2_ckpt2457|flip,002726251bd3b217de117a9d54ea74296a9a2712,htmnpo_athene_s2,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,htmnpo_athene_s2,flip,10542.5
ronpo-s2-gpt55|002726251bd3b217de117a9d54ea74296a9a2712|htmnpo_armo_s2|ronpo_s2_ckpt1400|flip,002726251bd3b217de117a9d54ea74296a9a2712,htmnpo_armo_s2,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,htmnpo_armo_s2,flip,6656.8
ronpo-s2-gpt55|002726251bd3b217de117a9d54ea74296a9a2712|htmnpo_armo_s2|ronpo_s2_ckpt2457|flip,002726251bd3b217de117a9d54ea74296a9a2712,htmnpo_armo_s2,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,htmnpo_armo_s2,flip,10742.5
ronpo-s2-gpt55|002726251bd3b217de117a9d54ea74296a9a2712|ronpo_s2_ckpt1400|ronpo_s2_ckpt2457|keep,002726251bd3b217de117a9d54ea74296a9a2712,ronpo_s2_ckpt1400,ronpo_s2_ckpt2457,ronpo_s2_ckpt1400,ronpo_s2_ckpt2457,keep,6485.2
ronpo-s2-gpt55|00380b2244fb36bc1d65f183a7bae3f77f686ff7|baseline|htmnpo_skywork_s2|flip,00380b2244fb36bc1d65f183a7bae3f77f686ff7,baseline,htmnpo_skywork_s2,htmnpo_skywork_s2,baseline,flip,926.0
ronpo-s2-gpt55|00380b2244fb36bc1d65f183a7bae3f77f686ff7|baseline|htmnpo_athene_s2|flip,00380b2244fb36bc1d65f183a7bae3f77f686ff7,baseline,htmnpo_athene_s2,htmnpo_athene_s2,baseline,flip,1220.0
ronpo-s2-gpt55|00380b2244fb36bc1d65f183a7bae3f77f686ff7|baseline|htmnpo_armo_s2|flip,00380b2244fb36bc1d65f183a7bae3f77f686ff7,baseline,htmnpo_armo_s2,htmnpo_armo_s2,baseline,flip,1101.8
ronpo-s2-gpt55|00380b2244fb36bc1d65f183a7bae3f77f686ff7|baseline|ronpo_s2_ckpt1400|flip,00380b2244fb36bc1d65f183a7bae3f77f686ff7,baseline,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,baseline,flip,745.8
ronpo-s2-gpt55|00380b2244fb36bc1d65f183a7bae3f77f686ff7|baseline|ronpo_s2_ckpt2457|flip,00380b2244fb36bc1d65f183a7bae3f77f686ff7,baseline,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,baseline,flip,723.5
ronpo-s2-gpt55|00380b2244fb36bc1d65f183a7bae3f77f686ff7|htmnpo_skywork_s2|htmnpo_athene_s2|flip,00380b2244fb36bc1d65f183a7bae3f77f686ff7,htmnpo_skywork_s2,htmnpo_athene_s2,htmnpo_athene_s2,htmnpo_skywork_s2,flip,1535.2
ronpo-s2-gpt55|00380b2244fb36bc1d65f183a7bae3f77f686ff7|htmnpo_skywork_s2|htmnpo_armo_s2|keep,00380b2244fb36bc1d65f183a7bae3f77f686ff7,htmnpo_skywork_s2,htmnpo_armo_s2,htmnpo_skywork_s2,htmnpo_armo_s2,keep,1417.0
ronpo-s2-gpt55|00380b2244fb36bc1d65f183a7bae3f77f686ff7|htmnpo_skywork_s2|ronpo_s2_ckpt1400|keep,00380b2244fb36bc1d65f183a7bae3f77f686ff7,htmnpo_skywork_s2,ronpo_s2_ckpt1400,htmnpo_skywork_s2,ronpo_s2_ckpt1400,keep,1061.0
ronpo-s2-gpt55|00380b2244fb36bc1d65f183a7bae3f77f686ff7|htmnpo_skywork_s2|ronpo_s2_ckpt2457|flip,00380b2244fb36bc1d65f183a7bae3f77f686ff7,htmnpo_skywork_s2,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,htmnpo_skywork_s2,flip,1038.8
ronpo-s2-gpt55|00380b2244fb36bc1d65f183a7bae3f77f686ff7|htmnpo_athene_s2|htmnpo_armo_s2|keep,00380b2244fb36bc1d65f183a7bae3f77f686ff7,htmnpo_athene_s2,htmnpo_armo_s2,htmnpo_athene_s2,htmnpo_armo_s2,keep,1711.0
ronpo-s2-gpt55|00380b2244fb36bc1d65f183a7bae3f77f686ff7|htmnpo_athene_s2|ronpo_s2_ckpt1400|keep,00380b2244fb36bc1d65f183a7bae3f77f686ff7,htmnpo_athene_s2,ronpo_s2_ckpt1400,htmnpo_athene_s2,ronpo_s2_ckpt1400,keep,1355.0
ronpo-s2-gpt55|00380b2244fb36bc1d65f183a7bae3f77f686ff7|htmnpo_athene_s2|ronpo_s2_ckpt2457|flip,00380b2244fb36bc1d65f183a7bae3f77f686ff7,htmnpo_athene_s2,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,htmnpo_athene_s2,flip,1332.8
ronpo-s2-gpt55|00380b2244fb36bc1d65f183a7bae3f77f686ff7|htmnpo_armo_s2|ronpo_s2_ckpt1400|keep,00380b2244fb36bc1d65f183a7bae3f77f686ff7,htmnpo_armo_s2,ronpo_s2_ckpt1400,htmnpo_armo_s2,ronpo_s2_ckpt1400,keep,1236.8
ronpo-s2-gpt55|00380b2244fb36bc1d65f183a7bae3f77f686ff7|htmnpo_armo_s2|ronpo_s2_ckpt2457|keep,00380b2244fb36bc1d65f183a7bae3f77f686ff7,htmnpo_armo_s2,ronpo_s2_ckpt2457,htmnpo_armo_s2,ronpo_s2_ckpt2457,keep,1214.5
ronpo-s2-gpt55|00380b2244fb36bc1d65f183a7bae3f77f686ff7|ronpo_s2_ckpt1400|ronpo_s2_ckpt2457|flip,00380b2244fb36bc1d65f183a7bae3f77f686ff7,ronpo_s2_ckpt1400,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,ronpo_s2_ckpt1400,flip,858.5
ronpo-s2-gpt55|0194e0b576804c8d32647bf4f4410bab93453640|baseline|htmnpo_skywork_s2|keep,0194e0b576804c8d32647bf4f4410bab93453640,baseline,htmnpo_skywork_s2,baseline,htmnpo_skywork_s2,keep,597.2
ronpo-s2-gpt55|0194e0b576804c8d32647bf4f4410bab93453640|baseline|htmnpo_athene_s2|keep,0194e0b576804c8d32647bf4f4410bab93453640,baseline,htmnpo_athene_s2,baseline,htmnpo_athene_s2,keep,340.2
ronpo-s2-gpt55|0194e0b576804c8d32647bf4f4410bab93453640|baseline|htmnpo_armo_s2|keep,0194e0b576804c8d32647bf4f4410bab93453640,baseline,htmnpo_armo_s2,baseline,htmnpo_armo_s2,keep,305.5
ronpo-s2-gpt55|0194e0b576804c8d32647bf4f4410bab93453640|baseline|ronpo_s2_ckpt1400|flip,0194e0b576804c8d32647bf4f4410bab93453640,baseline,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,baseline,flip,542.5
ronpo-s2-gpt55|0194e0b576804c8d32647bf4f4410bab93453640|baseline|ronpo_s2_ckpt2457|flip,0194e0b576804c8d32647bf4f4410bab93453640,baseline,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,baseline,flip,475.8
ronpo-s2-gpt55|0194e0b576804c8d32647bf4f4410bab93453640|htmnpo_skywork_s2|htmnpo_athene_s2|keep,0194e0b576804c8d32647bf4f4410bab93453640,htmnpo_skywork_s2,htmnpo_athene_s2,htmnpo_skywork_s2,htmnpo_athene_s2,keep,648.5
ronpo-s2-gpt55|0194e0b576804c8d32647bf4f4410bab93453640|htmnpo_skywork_s2|htmnpo_armo_s2|flip,0194e0b576804c8d32647bf4f4410bab93453640,htmnpo_skywork_s2,htmnpo_armo_s2,htmnpo_armo_s2,htmnpo_skywork_s2,flip,613.8
ronpo-s2-gpt55|0194e0b576804c8d32647bf4f4410bab93453640|htmnpo_skywork_s2|ronpo_s2_ckpt1400|keep,0194e0b576804c8d32647bf4f4410bab93453640,htmnpo_skywork_s2,ronpo_s2_ckpt1400,htmnpo_skywork_s2,ronpo_s2_ckpt1400,keep,850.8
ronpo-s2-gpt55|0194e0b576804c8d32647bf4f4410bab93453640|htmnpo_skywork_s2|ronpo_s2_ckpt2457|flip,0194e0b576804c8d32647bf4f4410bab93453640,htmnpo_skywork_s2,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,htmnpo_skywork_s2,flip,784.0
ronpo-s2-gpt55|0194e0b576804c8d32647bf4f4410bab93453640|htmnpo_athene_s2|htmnpo_armo_s2|flip,0194e0b576804c8d32647bf4f4410bab93453640,htmnpo_athene_s2,htmnpo_armo_s2,htmnpo_armo_s2,htmnpo_athene_s2,flip,356.8
ronpo-s2-gpt55|0194e0b576804c8d32647bf4f4410bab93453640|htmnpo_athene_s2|ronpo_s2_ckpt1400|flip,0194e0b576804c8d32647bf4f4410bab93453640,htmnpo_athene_s2,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,htmnpo_athene_s2,flip,593.8
ronpo-s2-gpt55|0194e0b576804c8d32647bf4f4410bab93453640|htmnpo_athene_s2|ronpo_s2_ckpt2457|flip,0194e0b576804c8d32647bf4f4410bab93453640,htmnpo_athene_s2,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,htmnpo_athene_s2,flip,527.0
ronpo-s2-gpt55|0194e0b576804c8d32647bf4f4410bab93453640|htmnpo_armo_s2|ronpo_s2_ckpt1400|keep,0194e0b576804c8d32647bf4f4410bab93453640,htmnpo_armo_s2,ronpo_s2_ckpt1400,htmnpo_armo_s2,ronpo_s2_ckpt1400,keep,559.0
ronpo-s2-gpt55|0194e0b576804c8d32647bf4f4410bab93453640|htmnpo_armo_s2|ronpo_s2_ckpt2457|keep,0194e0b576804c8d32647bf4f4410bab93453640,htmnpo_armo_s2,ronpo_s2_ckpt2457,htmnpo_armo_s2,ronpo_s2_ckpt2457,keep,492.2
ronpo-s2-gpt55|0194e0b576804c8d32647bf4f4410bab93453640|ronpo_s2_ckpt1400|ronpo_s2_ckpt2457|flip,0194e0b576804c8d32647bf4f4410bab93453640,ronpo_s2_ckpt1400,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,ronpo_s2_ckpt1400,flip,729.2
ronpo-s2-gpt55|019eeea084b493f23ee14fb43babe26becbf8a19|baseline|htmnpo_skywork_s2|keep,019eeea084b493f23ee14fb43babe26becbf8a19,baseline,htmnpo_skywork_s2,baseline,htmnpo_skywork_s2,keep,725.0
ronpo-s2-gpt55|019eeea084b493f23ee14fb43babe26becbf8a19|baseline|htmnpo_athene_s2|flip,019eeea084b493f23ee14fb43babe26becbf8a19,baseline,htmnpo_athene_s2,htmnpo_athene_s2,baseline,flip,620.5
ronpo-s2-gpt55|019eeea084b493f23ee14fb43babe26becbf8a19|baseline|htmnpo_armo_s2|flip,019eeea084b493f23ee14fb43babe26becbf8a19,baseline,htmnpo_armo_s2,htmnpo_armo_s2,baseline,flip,494.8
ronpo-s2-gpt55|019eeea084b493f23ee14fb43babe26becbf8a19|baseline|ronpo_s2_ckpt1400|keep,019eeea084b493f23ee14fb43babe26becbf8a19,baseline,ronpo_s2_ckpt1400,baseline,ronpo_s2_ckpt1400,keep,604.0
ronpo-s2-gpt55|019eeea084b493f23ee14fb43babe26becbf8a19|baseline|ronpo_s2_ckpt2457|flip,019eeea084b493f23ee14fb43babe26becbf8a19,baseline,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,baseline,flip,738.0
ronpo-s2-gpt55|019eeea084b493f23ee14fb43babe26becbf8a19|htmnpo_skywork_s2|htmnpo_athene_s2|flip,019eeea084b493f23ee14fb43babe26becbf8a19,htmnpo_skywork_s2,htmnpo_athene_s2,htmnpo_athene_s2,htmnpo_skywork_s2,flip,868.2
ronpo-s2-gpt55|019eeea084b493f23ee14fb43babe26becbf8a19|htmnpo_skywork_s2|htmnpo_armo_s2|flip,019eeea084b493f23ee14fb43babe26becbf8a19,htmnpo_skywork_s2,htmnpo_armo_s2,htmnpo_armo_s2,htmnpo_skywork_s2,flip,742.5
ronpo-s2-gpt55|019eeea084b493f23ee14fb43babe26becbf8a19|htmnpo_skywork_s2|ronpo_s2_ckpt1400|flip,019eeea084b493f23ee14fb43babe26becbf8a19,htmnpo_skywork_s2,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,htmnpo_skywork_s2,flip,851.8
ronpo-s2-gpt55|019eeea084b493f23ee14fb43babe26becbf8a19|htmnpo_skywork_s2|ronpo_s2_ckpt2457|flip,019eeea084b493f23ee14fb43babe26becbf8a19,htmnpo_skywork_s2,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,htmnpo_skywork_s2,flip,985.8
ronpo-s2-gpt55|019eeea084b493f23ee14fb43babe26becbf8a19|htmnpo_athene_s2|htmnpo_armo_s2|flip,019eeea084b493f23ee14fb43babe26becbf8a19,htmnpo_athene_s2,htmnpo_armo_s2,htmnpo_armo_s2,htmnpo_athene_s2,flip,638.0
ronpo-s2-gpt55|019eeea084b493f23ee14fb43babe26becbf8a19|htmnpo_athene_s2|ronpo_s2_ckpt1400|keep,019eeea084b493f23ee14fb43babe26becbf8a19,htmnpo_athene_s2,ronpo_s2_ckpt1400,htmnpo_athene_s2,ronpo_s2_ckpt1400,keep,747.2
ronpo-s2-gpt55|019eeea084b493f23ee14fb43babe26becbf8a19|htmnpo_athene_s2|ronpo_s2_ckpt2457|keep,019eeea084b493f23ee14fb43babe26becbf8a19,htmnpo_athene_s2,ronpo_s2_ckpt2457,htmnpo_athene_s2,ronpo_s2_ckpt2457,keep,881.2
