model,display_name,metric,seed42,seed43,mean,sample_sd,n_seeds
ronpo_os_stage4,RONPO (OS),helpfulness_norm,0.6702572165365913,0.6545409499584491,0.6623990832475202,0.011113078672339832,2
ronpo_os_stage4,RONPO (OS),harmlessness_norm,0.586689238615553,0.5844676297157908,0.5855784341656719,0.0015709147181662332,2
ronpo_os_stage4,RONPO (OS),mean_objective_norm_score,0.6284732275760722,0.61950428983712,0.6239887587065961,0.006341996695252993,2
ronpo_os_stage4,RONPO (OS),mean_prompt_worst_norm_score,0.4472478101490675,0.43521472362862273,0.4412312668888451,0.008508677077210933,2
ronpo_os_stage4,RONPO (OS),mean_win_rate_vs_base,0.72,0.724,0.722,0.0028284271247461927,2
ronpo_os_stage4,RONPO (OS),min_win_rate_vs_base,0.6145,0.614,0.61425,0.00035355339059331333,2
ronpo_topmass_stage4,RONPO (top-mass; ablation),helpfulness_norm,0.6482058263483448,0.6348576746815384,0.6415317505149416,0.009438568559905297,2
ronpo_topmass_stage4,RONPO (top-mass; ablation),harmlessness_norm,0.564748369182755,0.5881572180552452,0.576452793619,0.016552555777508946,2
ronpo_topmass_stage4,RONPO (top-mass; ablation),mean_objective_norm_score,0.6064770977655498,0.6115074463683918,0.6089922720669708,0.003556993608801865,2
ronpo_topmass_stage4,RONPO (top-mass; ablation),mean_prompt_worst_norm_score,0.42452675899330883,0.4282531923792642,0.4263899756862865,0.0026349863168489765,2
ronpo_topmass_stage4,RONPO (top-mass; ablation),mean_win_rate_vs_base,0.7175,0.71475,0.716125,0.001944543648263027,2
ronpo_topmass_stage4,RONPO (top-mass; ablation),min_win_rate_vs_base,0.614,0.61,0.612,0.0028284271247461927,2
ht_mnpo_helpfulness_stage4,HT-MNPO (help.),helpfulness_norm,0.5449769917937702,0.5207257133433356,0.532851352568553,0.01714824344474551,2
ht_mnpo_helpfulness_stage4,HT-MNPO (help.),harmlessness_norm,0.42132275392527685,0.4275047373156495,0.4244137456204632,0.004371322376515087,2
ht_mnpo_helpfulness_stage4,HT-MNPO (help.),mean_objective_norm_score,0.4831498728595235,0.47411522532949263,0.47863254909450803,0.006388460534115113,2
ht_mnpo_helpfulness_stage4,HT-MNPO (help.),mean_prompt_worst_norm_score,0.2991102422101964,0.28776577071001574,0.2934380064601061,0.008021752726755258,2
ht_mnpo_helpfulness_stage4,HT-MNPO (help.),mean_win_rate_vs_base,0.64425,0.6427499999999999,0.6435,0.0010606601717798615,2
ht_mnpo_helpfulness_stage4,HT-MNPO (help.),min_win_rate_vs_base,0.5145,0.513,0.5137499999999999,0.001060660171779783,2
ht_mnpo_harmless_stage4,HT-MNPO (harml.),helpfulness_norm,0.5155828133880425,0.5329127188564633,0.5242477661222529,0.012254093674042206,2
ht_mnpo_harmless_stage4,HT-MNPO (harml.),harmlessness_norm,0.4355415946109389,0.4363281437459701,0.4359348691784545,0.0005561742271169988,2
ht_mnpo_harmless_stage4,HT-MNPO (harml.),mean_objective_norm_score,0.4755622039994906,0.4846204313012166,0.4800913176503536,0.006405133950579582,2
ht_mnpo_harmless_stage4,HT-MNPO (harml.),mean_prompt_worst_norm_score,0.29437487812436997,0.30329493006506875,0.29883490409471936,0.006307429215804332,2
ht_mnpo_harmless_stage4,HT-MNPO (harml.),mean_win_rate_vs_base,0.64125,0.6455,0.643375,0.00300520382004281,2
ht_mnpo_harmless_stage4,HT-MNPO (harml.),min_win_rate_vs_base,0.527,0.521,0.524,0.004242640687119289,2
inpo_avg_stage4,INPO-avg,helpfulness_norm,0.47473671809996165,0.529870062136147,0.5023033901180542,0.03898516143747753,2
inpo_avg_stage4,INPO-avg,harmlessness_norm,0.6521714712365079,0.6374449825600457,0.6448082268982768,0.010413200006193328,2
inpo_avg_stage4,INPO-avg,mean_objective_norm_score,0.5634540946682347,0.5836575223480963,0.5735558085081656,0.01428598071564214,2
inpo_avg_stage4,INPO-avg,mean_prompt_worst_norm_score,0.366331132577998,0.3948683650774708,0.3805997488277344,0.02017887061667436,2
inpo_avg_stage4,INPO-avg,mean_win_rate_vs_base,0.7397499999999999,0.74075,0.74025,0.0007071067811866267,2
inpo_avg_stage4,INPO-avg,min_win_rate_vs_base,0.69,0.6755,0.68275,0.01025304832720491,2
sppo_avg_stage4,SPPO-avg,helpfulness_norm,0.4874377329204956,0.48374401795149485,0.4855908754359952,0.0026118509023506727,2
sppo_avg_stage4,SPPO-avg,harmlessness_norm,0.46605198842322915,0.48376648603362266,0.47490923722842593,0.012526041385622142,2
sppo_avg_stage4,SPPO-avg,mean_objective_norm_score,0.4767448606718624,0.4837552519925587,0.4802500563322105,0.004957095241635676,2
sppo_avg_stage4,SPPO-avg,mean_prompt_worst_norm_score,0.2853418272200431,0.29778694301761105,0.2915643851188271,0.008800025773112135,2
sppo_avg_stage4,SPPO-avg,mean_win_rate_vs_base,0.6599999999999999,0.6585,0.6592499999999999,0.001060660171779783,2
sppo_avg_stage4,SPPO-avg,min_win_rate_vs_base,0.5365,0.5585,0.5475,0.01555634918610406,2
simpo_stage4,SimPO,helpfulness_norm,0.4581607650851257,0.4629924289160433,0.4605765970005845,0.003416502259255606,2
simpo_stage4,SimPO,harmlessness_norm,0.7491632790770084,0.7328226895991183,0.7409929843380634,0.01155454162840162,2
simpo_stage4,SimPO,mean_objective_norm_score,0.6036620220810671,0.5979075592575808,0.600784790669324,0.004069019684573085,2
simpo_stage4,SimPO,mean_prompt_worst_norm_score,0.3731497870208757,0.372834877091276,0.37299233205607585,0.0002226749466829296,2
simpo_stage4,SimPO,mean_win_rate_vs_base,0.77275,0.7595000000000001,0.7661250000000001,0.009369164850721744,2
simpo_stage4,SimPO,min_win_rate_vs_base,0.7515,0.727,0.73925,0.01732411613907039,2
ipo_stage4,IPO,helpfulness_norm,0.537187936429546,0.5467177168689131,0.5419528266492295,0.006738572371895422,2
ipo_stage4,IPO,harmlessness_norm,0.6537067440154886,0.654138579113207,0.6539226615643479,0.0003053535259511007,2
ipo_stage4,IPO,mean_objective_norm_score,0.5954473402225171,0.60042814799106,0.5979377441067886,0.00352196294892334,2
ipo_stage4,IPO,mean_prompt_worst_norm_score,0.40273261621572554,0.40650975390420946,0.40462118505996747,0.002670839673002263,2
ipo_stage4,IPO,mean_win_rate_vs_base,0.75625,0.75425,0.75525,0.0014142135623730963,2
ipo_stage4,IPO,min_win_rate_vs_base,0.6945,0.688,0.6912499999999999,0.0045961940777126025,2
dpo_stage4,DPO,helpfulness_norm,0.5077252469639958,0.4879573280815608,0.4978412875227783,0.013978029491715394,2
dpo_stage4,DPO,harmlessness_norm,0.6524319016470961,0.6462393900228484,0.6493356458349722,0.004378766962082085,2
dpo_stage4,DPO,mean_objective_norm_score,0.580078574305546,0.5670983590522046,0.5735884666788753,0.009178398226898738,2
dpo_stage4,DPO,mean_prompt_worst_norm_score,0.38455102907213756,0.36549672421951823,0.3750238766458279,0.013473428172082868,2
dpo_stage4,DPO,mean_win_rate_vs_base,0.74675,0.7375,0.742125,0.006540737725975551,2
dpo_stage4,DPO,min_win_rate_vs_base,0.68,0.682,0.681,0.0014142135623730963,2
base,Base,helpfulness_norm,0.2028834540724798,0.20602875050870872,0.20445610229059424,0.0022240604388993604,2
base,Base,harmlessness_norm,0.44477339315683617,0.44649205859919583,0.445632725878016,0.0012152799888834908,2
base,Base,mean_objective_norm_score,0.32382842361465797,0.3262604045539523,0.3250444140843051,0.0017196702138914353,2
base,Base,mean_prompt_worst_norm_score,0.1309299108103815,0.13216057027809522,0.13154524054423836,0.0008702076549518012,2
base,Base,mean_win_rate_vs_base,0.5,0.5,0.5,0.0,2
base,Base,min_win_rate_vs_base,0.5,0.5,0.5,0.0,2
