run_id,method_tex,horizon,nmse,nmse_star,sign,pearson,spearman,drift,pool_forward_kl,gpu_hours,a_star,nmse_star_nonnegative,policy_seed,source
mse1750,MSE,1750,1.418,0.828,0.693,0.415,0.460,-2.07,1.2131,7.48,,,,attached PDF p10 Table3; GPU-hours from user Claude report; pool KL from user Claude report 2026-09-09 21:37 KST
wbc1750,WBC,1750,13.070,0.977,0.486,-0.152,-0.105,-6.68,6.0634,6.78,,,,attached PDF p10 Table3; GPU-hours from user Claude report; pool KL from user Claude report 2026-09-09 21:37 KST
mse250,MSE$^\dagger$,250,0.690,0.655,0.702,0.588,0.552,-0.90,0.6204,2.20,,,,attached PDF p10 Table3; GPU-hours from user Claude report; pool KL from user Claude report 2026-09-09 21:37 KST
wbc250,WBC$^\dagger$,250,0.780,0.758,0.687,0.492,0.488,-0.51,0.6875,2.08,,,,attached PDF p10 Table3; GPU-hours from user Claude report; pool KL from user Claude report 2026-09-09 21:37 KST
