run_id,method_tex,worst_surplus,ifeval_reported,gsm8k_em,harmbench_harmful,alpaca_local_wr,arena_unassigned_local_wr,unassigned_median_tokens,source,scope_notes
base,Base,-0.0405,.752,.867,.281,.500,.500,457,User Claude report 2026-09-09 21:37 KST,Arena hard/creative/combined scope and median-token prompt set unresolved; IFEval strict prompt/instruction identity pending raw evaluator check; not official AlpacaEval LC or Arena-Hard score
mse1750,MSE (1750),+0.1337,.758,.864,.284,.419,.435,481,User Claude report 2026-09-09 21:37 KST,Arena hard/creative/combined scope and median-token prompt set unresolved; IFEval strict prompt/instruction identity pending raw evaluator check; not official AlpacaEval LC or Arena-Hard score
wbc1750,WBC (1750),+0.0738,.741,.852,.256,.578,.594,457,User Claude report 2026-09-09 21:37 KST,Arena hard/creative/combined scope and median-token prompt set unresolved; IFEval strict prompt/instruction identity pending raw evaluator check; not official AlpacaEval LC or Arena-Hard score
mse250,MSE (250)$^\dagger$,+0.1186,.760,.870,.269,.497,.516,460,User Claude report 2026-09-09 21:37 KST,Arena hard/creative/combined scope and median-token prompt set unresolved; IFEval strict prompt/instruction identity pending raw evaluator check; not official AlpacaEval LC or Arena-Hard score
wbc250,WBC (250)$^\dagger$,+0.0569,.741,.867,.266,.486,.542,463,User Claude report 2026-09-09 21:37 KST,Arena hard/creative/combined scope and median-token prompt set unresolved; IFEval strict prompt/instruction identity pending raw evaluator check; not official AlpacaEval LC or Arena-Hard score
