metric_tex,value,source
Mean target TV,0.0008,attached TeX and user report; raw artifact unavailable
Maximum target TV,0.0075,attached TeX and user report; raw artifact unavailable
Pairwise target difference RMS,0.0034,attached TeX and user report; raw artifact unavailable
Target RMS on the aggregation panel,1.125,attached TeX and user report; raw artifact unavailable
Nash $\lambda_{\rm help}$,6.325,attached TeX and user report; raw artifact unavailable
Nash $\lambda_{\rm safe}$,6.186,attached TeX and user report; raw artifact unavailable
