method_id,method_tex,dataset,seeds,n_seeds,nmse_mean,nmse_reported_spread,sign_mean,sign_reported_spread,worst_surplus_mean,worst_surplus_reported_spread,spread_type,both_positive_reported,both_positive_unit,source
nbpo,NBPO-Nash,SafeRLHF-2k,42;43;44,3,0.6845,0.0048,0.7009,0.0016,0.1215,0.0028,unverified,0.725,unverified,User-provided Claude report 2026-09-10 09:13 KST
game_util,Utilitarian (L1-matched),SafeRLHF-2k,42;43;44,3,0.6737,0.0242,0.704,0.0058,0.122,0.0029,unverified,0.73,unverified,User-provided Claude report 2026-09-10 09:13 KST
