alpha,n_seeds,bt_deviance,rho_star_mean,rho_star_std,rho_star_min,frac_rho_star_positive,max_rho_star_gap,ref_is_maxmin_optimal_frac,ref_exploitability,ks_defined_frac,ir_ideal_min_mean
0.0,5,0.004803586053091502,0.11096557482438577,0.008803526957664157,0.10302878566415032,1.0,6.64308703879346e-09,0.0,0.2426488361953639,1.0,0.2413390004660405
0.25,5,0.06832308419066464,0.0755187712709275,0.0038039006364733643,0.07132222570591473,1.0,1.0247925746886821e-07,0.0,0.18321136006169308,1.0,0.16759797663978698
0.5,5,0.2112989647372588,0.03542834469447781,0.0015138606808483995,0.03288077028290594,1.0,1.8717287212505207e-07,0.0,0.13376238742359853,1.0,0.07807784409972772
0.75,5,0.4452642105183836,0.01708764466886458,0.0018887651229361425,0.015422129938755916,1.0,3.054417519916808e-07,0.0,0.11649831645910061,1.0,0.04014860886112835
1.0,5,0.849292670153806,0.016920122586074688,0.0020191957568080443,0.015100759241214824,1.0,1.7376279801140093e-07,0.0,0.1125,1.0,0.043064686066360505
