model,display_name,status,records,helpfulness_norm,harmlessness_norm,helpfulness_raw,harmlessness_raw,mean_objective_norm_score,mean_prompt_worst_norm_score,mean_prompt_worst_norm_score_ci95,mean_win_rate_vs_baseline,min_win_rate_vs_baseline,helpfulness_win_vs_base,harmlessness_win_vs_base,rank
ipo,IPO,eligible,49,0.6070953003566457,0.6265905286107563,-0.2403938137755102,12.838887117346939,0.616842914483701,0.43750814507144375,"[0.3404577272469899, 0.5402674340681692]",0.6989795918367347,0.6122448979591837,0.7857142857142857,0.6122448979591837,1
inpo_avg,INPO (avg),eligible,49,0.5857376463692727,0.5958274596690248,-0.7649473852040817,12.994897959183673,0.5907825530191487,0.409885059309205,"[0.31730844836930017, 0.503230631810159]",0.7193877551020409,0.6020408163265306,0.8367346938775511,0.6020408163265306,2
simpo,SimPO,eligible,49,0.5050467068308436,0.6614486786589955,-1.4887595663265305,13.754464285714286,0.5832476927449196,0.3822971131544889,"[0.29804263308381296, 0.4696657550854986]",0.7244897959183674,0.6836734693877551,0.7653061224489796,0.6836734693877551,3
dpo,DPO,eligible,49,0.5407638696673082,0.5795481873736165,-0.987922512755102,11.888552295918368,0.5601560285204623,0.36473655198549515,"[0.2794656877081798, 0.4552410107571273]",0.6836734693877551,0.6020408163265306,0.7653061224489796,0.6020408163265306,4
ronpo_os_confirmatory,"RONPO (OS, confirmatory)",eligible,49,0.572022121999387,0.48504611311323964,-0.6968670280612245,11.448262117346939,0.5285341175563133,0.3052181487122704,"[0.2290216824779184, 0.38355679590472197]",0.653061224489796,0.5102040816326531,0.7959183673469388,0.5102040816326531,5
sppo_avg,SPPO (avg),eligible,49,0.4550173683467802,0.49592197303120766,-2.0373086734693877,10.565688775510203,0.475469670688994,0.28153139390480986,"[0.19973951273290108, 0.36684620050490857]",0.6122448979591837,0.5612244897959183,0.6632653061224489,0.5612244897959183,6
ht_mnpo_harmless,HT-MNPO (harmless),eligible,49,0.46398266583267495,0.45173092267568593,-1.8655931122448979,10.411272321428571,0.4578567942541803,0.28074551697488137,"[0.20544599010573172, 0.35620438233629215]",0.653061224489796,0.5306122448979592,0.7755102040816326,0.5306122448979592,7
ht_mnpo_helpfulness,HT-MNPO (help.),eligible,49,0.40922414398312074,0.48818080174012835,-2.2207429846938775,10.595822704081632,0.4487024728616245,0.25304815028490146,"[0.17553818742903876, 0.3344093867042976]",0.6428571428571428,0.5510204081632653,0.7346938775510204,0.5510204081632653,8
base,Base,eligible,49,0.17475616274736755,0.4359323132349234,-5.776466836734694,11.603635204081632,0.3053442379911454,0.10297135377099284,"[0.04812548989078464, 0.16255915818326233]",0.5,0.5,0.5,0.5,9
