model,display,mean_pairwise_win_rate,num_matchups,ci_low,ci_high,bootstrap_iterations
baseline,Base,0.6302469135802469,5,0.5802469135802469,0.6771759259259258,2000
ronpo_s2_ckpt2457,RONPO S2 checkpoint-2457,0.524074074074074,5,0.47901234567901235,0.5679012345679013,2000
ronpo_s2_ckpt1400,RONPO S2 checkpoint-1400,0.4851851851851852,5,0.4413580246913581,0.5271604938271605,2000
htmnpo_armo_s2,HT-MNPO ArmoRM S2,0.4808641975308642,5,0.43518518518518523,0.5290123456790123,2000
htmnpo_skywork_s2,HT-MNPO Skywork S2,0.4796296296296297,5,0.43765432098765433,0.5185185185185185,2000
htmnpo_athene_s2,HT-MNPO Athene S2,0.4,5,0.357391975308642,0.43888888888888883,2000
