alpha,method,n_seeds,n_converged,n_used,expected_non_convergent,bt_deviance,rho_star,min_surplus_mean,min_surplus_std,normalized_min_surplus_mean,normalized_min_surplus_std,avg_surplus_mean,nash_welfare_mean,exploitability_mean,kl_from_reference_mean,raw_multiplier_l1_mean,tv_to_exact_proximal_mean,tv_to_exact_global_mean,max_projected_kkt,max_inner_fixed_point
0.0,reference,5,5,5,False,0.0001013209797324215,0.03497729547674787,0.0,0.0,0.0,0.0,0.0,,0.03938401606209003,0.0,,0.6437363143355138,0.7988783415004737,,
0.0,exact_global_nash,5,5,5,False,0.0001013209797324215,0.03497729547674787,0.0337581423956526,0.0017813089509123904,0.9650186159840594,0.00524239121602472,0.035553451285010494,-13.353588721008899,0.07540420110148831,1.605508371641791,,0.19401028330127681,0.0,,
0.0,exact_proximal_nash,5,5,5,False,0.0001013209797324215,0.03497729547674787,0.03228403395846431,0.0015968729650253106,0.922993632722871,0.0036176632123213963,0.03341580408303069,-13.600904558464048,0.07319716152896609,1.1062271867617064,,0.0,0.19401028330127681,,
0.0,nbpo_direct,5,5,5,False,0.0001013209797324215,0.03497729547674787,0.032284034042659025,0.0015968729814598264,0.9229936351303305,0.0036176678514912492,0.033415804095823606,-13.600904557052914,0.07319716152593121,1.1062271881728296,120.06366441936875,3.7341694078696355e-08,0.19401027803844023,0.0,1.478039912683471e-10
0.0,nbpo_rstep_legacy,5,0,5,True,0.0001013209797324215,0.03497729547674787,0.031433075074580666,0.0016743725604817397,0.8985281921725903,0.00465991917181282,0.032488949438047296,-13.714040545787137,0.07223809212944231,1.0048960554070714,99.94235762675109,0.03865643526182865,0.2322317072114118,0.008939950180447909,2.0754996610250487e-09
0.0,fixed_reference_nash,5,5,5,False,0.0001013209797324215,0.03497729547674787,0.03228251527770097,0.0015958863366295065,0.9229520118369623,0.003713294518047099,0.03342377079274471,-13.599967569322228,0.07321775750091108,1.1072202039242178,119.93522057759776,0.002842875511242076,0.19367116504004195,0.0,0.0
0.0,bt_rm_nash,5,5,5,False,0.0001013209797324215,0.03497729547674787,0.032281721286656045,0.0015972077390210015,0.9229276631709709,0.003657972042682467,0.033423879240120816,-13.599960930021254,0.07321724938322258,1.107224822617536,29.793729178799822,0.002793693202413318,0.1936187051032025,0.0,3.3306690738754696e-16
0.0,game_utilitarian,5,5,5,False,0.0001013209797324215,0.03497729547674787,0.03223188251239994,0.0016109110007745478,0.9214849424011333,0.004025780628993566,0.03342816435423841,-13.599659127889623,0.07321374562448116,1.1075971373771287,120.06366441936875,0.0042042392892157115,0.1933727526294187,,1.67702844944273e-08
0.0,game_ks,5,5,5,False,0.0001013209797324215,0.03497729547674787,0.03222537737131773,0.0015611502337783117,0.9213522745405929,0.004981384367546876,0.03338134264032469,-13.60553822794157,0.07316420737891566,1.1050950209983879,120.06366441936878,0.02252201995903031,0.19435359429147284,,2.4889304728326067e-08
0.0,bt_rm_utilitarian,5,5,5,False,0.0001013209797324215,0.03497729547674787,0.03222857481140666,0.0016117535138889837,0.9213899575668346,0.004073509328216918,0.03343612148673354,-13.598733003064762,0.07323375399929802,1.1086073664951523,29.793729178799822,0.005530846537500807,0.1930051749994539,,0.7979661460646195
0.25,reference,5,5,5,False,0.010003246922725438,0.03433831116429633,0.0,0.0,0.0,0.0,0.0,,0.039384016062090035,0.0,,0.6401279127147022,0.7616504325382649,,
0.25,exact_global_nash,5,5,5,False,0.010003246922725438,0.03433831116429633,0.03319146714712483,0.0016320659741308528,0.9665771836913303,0.007270423371189873,0.03494719949146745,-13.421824626013088,0.07969668203359075,1.4903837004465188,,0.14690609072321706,0.0,,
0.25,exact_proximal_nash,5,5,5,False,0.010003246922725438,0.03433831116429633,0.032077692248658383,0.0014910268768886044,0.934224790474613,0.005425939681726858,0.03315289983683724,-13.632334732896632,0.07480301475245518,1.096276651212521,,0.0,0.14690609072321706,,
0.25,nbpo_direct,5,5,5,False,0.010003246922725438,0.03433831116429633,0.03207769228455424,0.001491026827721963,0.9342247915631876,0.00542593716198404,0.03315289987305084,-13.632334728423364,0.0748030147815847,1.0962766556857684,121.00543460433178,3.410046226646398e-08,0.14690608983916387,1.1034728686354356e-11,1.5250010476641762e-08
0.25,nbpo_rstep_legacy,5,0,5,True,0.010003246922725438,0.03433831116429633,0.03125210798879523,0.0015788263165421802,0.9100390599273345,0.0054358910761068005,0.03226244320379204,-13.741884900231138,0.0737990036927687,0.998418913755953,100.24477654551124,0.035707276951778916,0.1823150449684721,0.008935575377471139,1.4738803253422361e-05
