seed,alpha,method,status,converged,bt_deviance_per_edge,rho_star,rho_star_gap,min_surplus,avg_surplus,normalized_min_surplus,nash_welfare,nash_welfare_defined,exploitability,kl_from_reference,raw_multiplier_l1,target_log_ratio_l2,fixed_point_residual,extra_map_residual,inverse_surplus_residual,projected_kkt_residual,target_identity_residual,outer_iterations_used,expected_non_convergent,tv_to_exact_proximal,tv_to_exact_global,wall_clock_seconds,peak_rss_mb,box_bound_active,non_converged_reasons
0,0.0,reference,ok,True,9.754789494540754e-05,0.03409312028483729,1.7792711748398915e-13,0.0,0.0,0.0,undefined,False,0.03688426355022861,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,0.6607337853772931,0.7949999999960243,0.0,471.359375,False,
0,0.0,exact_global_nash,ok,True,9.754789494540754e-05,0.03409312028483729,1.7792711748398915e-13,0.032957939060277455,0.03498547960525246,0.9667035104127826,-13.415162793351616,True,0.07271559982461234,1.592651440065822,NA,328.27384763014567,NA,NA,NA,NA,NA,NA,NA,0.16764867734769018,0.0,0.961899995803833,471.359375,False,
0,0.0,exact_proximal_nash,ok,True,9.754789494540754e-05,0.03409312028483729,1.7792711748398915e-13,0.03156593679384432,0.03309997476087985,0.9258740921957525,-13.636877509719481,True,0.07074569171370965,1.1509755684047025,NA,60.574656958589,NA,NA,NA,NA,NA,NA,NA,0.0,0.16764867734769018,3.0378589630126953,471.359375,False,
0,0.0,nbpo_direct,ok,True,9.754789494540754e-05,0.03409312028483729,1.7792711748398915e-13,0.03156593694672895,0.03309997480899249,0.9258740966800774,-13.63687750374011,True,0.07074569177246419,1.1509755743840642,121.08428155995792,60.5746578400943,1.478039912683471e-10,1.1752820938681907e-12,1.1032841307212493e-15,0.0,1.3322676295501878e-15,33,False,3.601087652152553e-08,0.16764866698448408,2.952970027923584,471.9453125,False,
0,0.0,nbpo_rstep_legacy,ok,False,9.754789494540754e-05,0.03409312028483729,1.7792711748398915e-13,0.030665032653834263,0.03214617994083076,0.8994492847130907,-13.753809287373508,True,0.06975231410159291,1.0463419689469575,100.57474454030441,48.49320730396513,2.0754996610250487e-09,1.2925771564198385e-11,0.008271334457120971,0.00827133445712036,8.881784197001252e-16,1500,True,0.036479338566175704,0.20349280832998576,3.5346455574035645,471.9453125,False,projected_kkt 8.27e-03 >= 1e-06; inverse_surplus 8.27e-03 >= 1e-06 with no active box bound
0,0.0,fixed_reference_nash,ok,True,9.754789494540754e-05,0.03409312028483729,1.7792711748398915e-13,0.0315658977774886,0.03310755629460261,0.9258729477902127,-13.636006283903026,True,0.07076096745903543,1.1518748247913844,120.96000312297706,60.59526158363596,0.0,0.0,6.938893903907228e-18,0.0,1.3322676295501878e-15,34,False,0.0017207791661832746,0.1671785376860019,0.022698640823364258,471.9453125,False,
0,0.0,bt_rm_nash,ok,True,9.754789494540754e-05,0.03409312028483729,1.7792711748398915e-13,0.03156139071052672,0.03310643625243702,0.9257407490672968,-13.636144215798392,True,0.07075915352427885,1.1517370994632405,30.059075428088224,60.61581405605939,0.0,0.0,2.7755575615628914e-17,0.0,1.7763568394002505e-15,54,False,0.0017322839650829366,0.167196980917491,0.033136844635009766,471.9453125,False,
0,0.0,game_utilitarian,ok,True,9.754789494540754e-05,0.03409312028483729,1.7792711748398915e-13,0.03152655820345003,0.03311934444298404,0.9247190617947422,-13.634930759101154,True,0.07077386823581236,1.153126562138094,121.08428155995792,60.70880044371781,1.05780870451877e-08,2.7410559932938838e-11,NA,NA,1.3322676295501878e-15,NA,False,0.005159618361044126,0.16702613818597928,0.16242408752441406,471.9453125,False,
0,0.0,game_ks,ok,True,9.754789494540754e-05,0.03409312028483729,1.7792711748398915e-13,0.03166072491359358,0.03313058922872365,0.9286543633753139,-13.63408601998782,True,0.07082715634190637,1.1567314744951716,121.08428155995793,60.922412877978054,2.0753612384183384e-08,1.6319889883931182e-10,NA,NA,1.3322676295501878e-15,NA,False,0.018925179326505448,0.1657872269138691,65.31685137748718,471.9453125,False,
0,0.0,bt_rm_utilitarian,ok,True,9.754789494540754e-05,0.03409312028483729,1.7792711748398915e-13,0.03152119693779114,0.03312540540328537,0.9245618082018149,-13.634252127859684,True,0.07078697341916462,1.1538888160698364,30.059075428088224,60.75341317419829,0.7979661460646195,0.0,NA,NA,1.7763568394002505e-15,NA,False,0.006116858386617773,0.16661512361491107,0.0009860992431640625,471.9453125,False,
