alpha,method,n_seeds,n_converged,n_used,expected_non_convergent,bt_deviance,rho_star,min_surplus_mean,min_surplus_std,normalized_min_surplus_mean,normalized_min_surplus_std,avg_surplus_mean,nash_welfare_mean,exploitability_mean,kl_from_reference_mean,raw_multiplier_l1_mean,tv_to_exact_proximal_mean,tv_to_exact_global_mean,max_projected_kkt,max_inner_fixed_point
0.0,reference,5,5,5,False,0.0002689110197066151,0.030000020449492154,0.0,0.0,0.0,0.0,0.0,,0.03933115944568229,0.0,,0.6446814644265031,0.79514484975163,,
0.0,exact_global_nash,5,5,5,False,0.0002689110197066151,0.030000020449492154,0.027900133047022647,0.0004975218354728941,0.9300038007994967,0.016584029914287167,0.031001105103680683,-13.91036948321449,0.07096439842450161,1.5944719959813025,,0.1921957151721445,0.0,,
0.0,exact_proximal_nash,5,5,5,False,0.0002689110197066151,0.030000020449492154,0.026440658261324294,0.0011014670031770815,0.88135467044576,0.03671543452828091,0.029228044761273442,-14.146385287891187,0.06873560375284418,1.1088565898714615,,0.0,0.1921957151721445,,
0.0,nbpo_direct,5,5,5,False,0.0002689110197066151,0.030000020449492154,0.026440658526160725,0.00110146694787556,0.8813546792736652,0.036715432685828,0.029228044949210746,-14.146385261140281,0.06873560395126146,1.1088566166223255,137.92870989175884,4.815497768286882e-08,0.19219571105447442,5.684341886080802e-14,9.227429931257802e-11
0.0,nbpo_rstep_legacy,5,0,5,True,0.0002689110197066151,0.030000020449492154,0.025202721690094687,0.0012344311235702031,0.8400901484223791,0.04114765128793538,0.028103321496555988,-14.305731269536924,0.06752541570186414,0.9725639178665139,106.92324024699312,0.05251670018966489,0.24332527862084716,0.011803810445172758,2.2540524891034863e-08
0.0,fixed_reference_nash,5,5,5,False,0.0002689110197066151,0.030000020449492154,0.02648845658996617,0.0010878816838804765,0.8829479470053776,0.03626258862515039,0.029250037884548025,-14.143261594738425,0.06880426728187423,1.112237167468439,137.47560291961298,0.00587749850345768,0.19009410802698073,0.0,4.440892098500626e-16
0.0,bt_rm_nash,5,5,5,False,0.0002689110197066151,0.030000020449492154,0.026482769226916347,0.0010868733873010594,0.8827583683268806,0.03622897735928434,0.029249520404743427,-14.143350741083996,0.06880019512807108,1.1121248282403617,34.11699333934176,0.005617674497507619,0.19006775659500644,0.0,4.440892098500626e-16
0.0,game_utilitarian,5,5,5,False,0.0002689110197066151,0.030000020449492154,0.025971054079408612,0.0014421726526922657,0.8657012033826911,0.0480722031095008,0.029292080127065735,-14.14319215180475,0.06878778596225672,1.11504813252368,137.92870989175884,0.016933454740557234,0.19222900232724355,,1.8992039052534437e-08
0.0,game_ks,5,5,5,False,0.0002689110197066151,0.030000020449492154,0.026800381390410237,0.0004983930613797383,0.8933454444249491,0.016613584949036673,0.02899907718189588,-14.171313726354281,0.06854243266255351,1.0976072565850337,137.92870989175884,0.03973671224948209,0.19861047484878547,,2.956800609910104e-08
0.0,bt_rm_utilitarian,5,5,5,False,0.0002689110197066151,0.030000020449492154,0.026017642849309148,0.0014204112193708562,0.867254161139887,0.04734681323848001,0.029313454992033507,-14.140071196552597,0.0688524880075633,1.1182338726279266,34.11699333934176,0.01769728636910392,0.19002377646363958,,0.7994242610929014
0.25,reference,5,5,5,False,0.020185706957567745,0.030000032685262933,0.0,0.0,0.0,0.0,0.0,,0.04398344244592545,0.0,,0.5860077756660631,0.7042434929354808,,
0.25,exact_global_nash,5,5,5,False,0.020185706957567745,0.030000032685262933,0.027927078801744852,0.0014770421632864378,0.9309015439466151,0.04923316789148884,0.0310612675400944,-13.905438852558706,0.12334173989403174,1.3190526913676033,,0.13980161881282233,0.0,,
0.25,exact_proximal_nash,5,5,5,False,0.020185706957567745,0.030000032685262933,0.026905663198835732,0.0013154847029556759,0.8968544056594372,0.04384807681047707,0.029644073908948087,-14.088720370487255,0.10905261555613618,0.9478698996363079,,0.0,0.13980161881282233,,
0.25,nbpo_direct,5,5,5,False,0.020185706957567745,0.030000032685262933,0.026905663204077966,0.0013154846602874888,0.8968544058341802,0.043848075388205204,0.02964407388775344,-14.088720373023113,0.10905261541194489,0.9478698971004362,135.92339877153003,2.4039256650108537e-08,0.13980161885656756,2.8560975806612987e-10,8.188782496532099e-08
0.25,nbpo_rstep_legacy,5,0,5,True,0.020185706957567745,0.030000032685262933,0.025792016753452707,0.0013831133874691868,0.8597329088608804,0.046102747069946326,0.02865431185812688,-14.228226709877912,0.10626363570829452,0.8605126409826862,105.3831580686095,0.05971138533438068,0.193819842001065,0.0118148976556256,0.7453429914307483
0.25,fixed_reference_nash,5,5,5,False,0.020185706957567745,0.030000032685262933,0.027217250906110806,0.0011925248283746381,0.9072406554918059,0.039749349435702575,0.03039998627168461,-13.990383865508846,0.11967482522395598,1.120646494148556,113.58860131619603,0.09626759225426577,0.08216148856393507,0.0,0.0
0.25,bt_rm_nash,5,5,5,False,0.020185706957567745,0.030000032685262933,0.027212641720661353,0.001190390493867718,0.9070870162494407,0.03967820540064834,0.030399818414567525,-13.990418085969091,0.11966415699058508,1.1205316242315777,28.141582626083277,0.09623716486109753,0.08207442846523205,0.0,4.440892098500626e-16
0.25,game_utilitarian,5,5,5,False,0.020185706957567745,0.030000032685262933,0.02648427709872217,0.001728595256262351,0.8828081990479809,0.05761845436574821,0.029715108420532994,-14.08455672035256,0.10936165091676073,0.9548790418218822,135.92339877153003,0.013951577175527044,0.13912215865626348,,3.533647763287462e-08
0.25,game_ks,5,5,5,False,0.020185706957567745,0.030000032685262933,0.02715401278475415,0.0007438120282475762,0.905132740774488,0.024792272031881554,0.029471323499173953,-14.107981573085468,0.1087536675830482,0.9393006013765814,135.92339877153006,0.031661432069074805,0.14611136653609688,,9.578495113737873e-08
0.25,bt_rm_utilitarian,5,5,5,False,0.020185706957567745,0.030000032685262933,0.02685083014438227,0.001457086854116915,0.8950266292703155,0.04856805450573523,0.030434778847727263,-13.989961588933102,0.11980097508717968,1.1248639010303128,28.141582626083277,0.09779166917546007,0.08256602427994993,,0.7991277422915304
0.5,reference,5,5,5,False,0.08130004741069151,0.029999984097096956,0.0,0.0,0.0,0.0,0.0,,0.05424778429568382,0.0,,0.4942218012017584,0.5688094113236822,,
0.5,exact_global_nash,5,5,5,False,0.08130004741069151,0.029999984097096956,0.027982916591167008,0.00169371579412881,0.9327643993758364,0.05645761045782123,0.030711990695612357,-13.945762797242134,0.16152345679654037,0.9309906481029158,,0.08245027535025917,0.0,,
0.5,exact_proximal_nash,5,5,5,False,0.08130004741069151,0.029999984097096956,0.027414588048185928,0.0013084809296596434,0.9138200947948901,0.04361627673074325,0.02984878532018729,-14.056609238923476,0.14542526290954375,0.7042061619402343,,0.0,0.08245027535025917,,
0.5,nbpo_direct,5,5,5,False,0.08130004741069151,0.029999984097096956,0.02741458803871092,0.0013084807282121732,0.9138200944790558,0.04361627001584918,0.02984878534692157,-14.056609234546377,0.14542526378940318,0.7042061663173753,134.69147191002148,3.878866836751492e-08,0.0824502688008665,1.7922587858265615e-09,4.438080816182577e-07
0.5,nbpo_rstep_legacy,5,0,5,True,0.08130004741069151,0.029999984097096956,0.002466755731662842,0.004420549012367272,0.08222521817254662,0.14735168364226156,0.011474842900136319,-19.633202110606437,0.19805824936035538,1.4031179569482002,132.3599099407772,0.48775556739997616,0.46989035479357516,0.03044026473799022,0.9999903309636413
0.5,fixed_reference_nash,5,5,5,False,0.08130004741069151,0.029999984097096956,0.02426086008601667,0.0017571048265301995,0.8086957894680088,0.05857062312928045,0.02812845592382259,-14.310992340424662,0.1945313095575049,1.1321738504757661,84.39567785193728,0.2286897205638693,0.17193725868179374,0.0,0.0
