seed,alpha,method,status,converged,bt_deviance_per_edge,rho_star,rho_star_gap,min_surplus,avg_surplus,normalized_min_surplus,nash_welfare,nash_welfare_defined,exploitability,kl_from_reference,raw_multiplier_l1,target_log_ratio_l2,fixed_point_residual,extra_map_residual,inverse_surplus_residual,projected_kkt_residual,target_identity_residual,outer_iterations_used,expected_non_convergent,tv_to_exact_proximal,tv_to_exact_global,wall_clock_seconds,peak_rss_mb,box_bound_active,non_converged_reasons
0,0.0,reference,ok,True,0.0002615387837484665,0.030000003697083454,1.496511248255672e-13,0.0,0.0,0.0,,False,0.03968729924007426,0.0,,0.0,,,,,,,,0.6622482308975479,0.7999999999959997,0.0,475.359375,False,
0,0.0,exact_global_nash,ok,True,0.0002615387837484665,0.030000003697083454,1.496511248255672e-13,0.027482597732688734,0.032881364859030635,0.9160864781946857,-13.686104417568997,True,0.07355522999954126,1.6094379123195686,,329.30641935665847,,,,,,,,0.16173899791000787,0.0,0.8348357677459717,475.359375,False,
0,0.0,exact_proximal_nash,ok,True,0.0002615387837484665,0.030000003697083454,1.496511248255672e-13,0.024548176898979694,0.031005496312556988,0.8182724624586037,-13.935323591374324,True,0.07138456313966152,1.1498877180180345,,61.45816866373677,,,,,,,,0.0,0.16173899791000787,3.387341022491455,475.359375,False,
0,0.0,nbpo_direct,ok,True,0.0002615387837484665,0.030000003697083454,1.496511248255672e-13,0.02454817735757882,0.031005496386714806,0.8182724777452395,-13.935323578331415,True,0.07138456332882986,1.1498877310609257,131.74751258612568,61.458159426413815,5.381335307919066e-11,1.479372180313021e-13,3.1780134079895106e-15,0.0,1.7763568394002505e-15,39,False,3.6987557858409216e-08,0.16173899291511784,5.322848081588745,476.859375,False,
0,0.0,nbpo_rstep_legacy,ok,False,0.0002615387837484665,0.030000003697083454,1.496511248255672e-13,0.023068191757734675,0.029881213749751796,0.7689396304966897,-14.091060698883688,True,0.07014828820639094,1.015964473172744,104.2955706504662,46.93945505493471,1.021568973857967e-08,1.3692447176083533e-10,0.011803810445173667,0.011803810445172758,1.7763568394002505e-15,1500,True,0.05450162941672421,0.2152292413031641,3.478910207748413,476.859375,False,projected_kkt 1.18e-02 >= 1e-06; inverse_surplus 1.18e-02 >= 1e-06 with no active box bound
0,0.0,fixed_reference_nash,ok,True,0.0002615387837484665,0.030000003697083454,1.496511248255672e-13,0.024630148508439365,0.03102602880816399,0.8210048491038641,-13.932068826461062,True,0.07143996082552032,1.1533312672638947,131.25193331523312,61.50604304804941,0.0,0.0,1.3877787807814457e-17,0.0,1.7763568394002505e-15,30,False,0.004676149884673882,0.15950939264898395,0.0196988582611084,476.859375,False,
0,0.0,bt_rm_nash,ok,True,0.0002615387837484665,0.030000003697083454,1.496511248255672e-13,0.024627205055842448,0.031025892123364936,0.8209067340293915,-13.932120409257323,True,0.07143710557641157,1.1532741144494874,32.5584889903743,61.526655911212174,3.3306690738754696e-16,0.0,1.3877787807814457e-16,0.0,1.7763568394002505e-15,40,False,0.0045686088489842085,0.15951961778512075,0.024761438369750977,476.859375,False,
0,0.0,game_utilitarian,ok,True,0.0002615387837484665,0.030000003697083454,1.496511248255672e-13,0.023465500442085507,0.031148211216513302,0.7821832516762917,-13.932952575282668,True,0.07148629100877554,1.1612691505423345,131.74751258612568,62.79263282567856,1.434179654202783e-08,2.253566777632443e-10,,,1.3322676295501878e-15,,False,0.031290783005533354,0.17054418812418057,0.21268010139465332,476.859375,False,
0,0.0,game_ks,ok,True,0.0002615387837484665,0.030000003697083454,1.496511248255672e-13,0.026065298167662027,0.03033097517548393,0.8688431651825446,-14.001683663924268,True,0.07075752467738738,1.1146246265985857,131.74751258612568,59.89166611717633,2.5654429025578906e-08,2.701030510365854e-10,,,1.7763568394002505e-15,,False,0.05777796780794958,0.16895718733752624,72.08530569076538,476.859375,False,
0,0.0,bt_rm_utilitarian,ok,True,0.0002615387837484665,0.030000003697083454,1.496511248255672e-13,0.023563841620433866,0.031169030046276025,0.7854612905505975,-13.929262104727078,True,0.07153926399465102,1.1641873330221675,32.5584889903743,62.852041511987316,0.7933561708770713,0.0,,,1.7763568394002505e-15,,False,0.03003754103432126,0.16801722237477615,0.0009398460388183594,476.859375,False,
0,0.25,reference,ok,True,0.02028498688226695,0.029999943509449765,2.373739852595813e-08,0.0,0.0,0.0,,False,0.044625911661262736,0.0,,0.0,,,,,,,,0.595080456497857,0.7276134892928592,0.0,476.859375,False,
0,0.25,exact_global_nash,ok,True,0.02028498688226695,0.029999943509449765,2.373739852595813e-08,0.025321314993191044,0.033010772008023125,0.8440454224593794,-13.6895375696921,True,0.1304607084852909,1.3939291644746885,,309.1564510964108,,,,,,,,0.15072120999906666,0.0,0.8504619598388672,476.859375,False,
0,0.25,exact_proximal_nash,ok,True,0.02028498688226695,0.029999943509449765,2.373739852595813e-08,0.024572923142073717,0.03121324475957124,0.8190989804475274,-13.908052577778228,True,0.11358222639729348,0.9685088348379111,,58.2694846486866,,,,,,,,0.0,0.15072120999906666,3.370314836502075,476.859375,False,
0,0.25,nbpo_direct,ok,True,0.02028498688226695,0.029999943509449765,2.373739852595813e-08,0.024572923222554555,0.031213244701436688,0.819098983130227,-13.908052583426452,True,0.11358222662883757,0.9685088291896463,130.8518895308476,58.269617350781076,1.812346395180242e-08,2.015090994067492e-08,5.5185443020855374e-11,5.518074885912938e-11,1.7763568394002505e-15,61,False,2.3538636985221138e-08,0.15072120897270241,5.608196258544922,476.859375,False,
0,0.25,nbpo_rstep_legacy,ok,False,0.02028498688226695,0.029999943509449765,2.373739852595813e-08,0.023468353081257505,0.030389655837607235,0.7822799090893335,-14.020861748705407,True,0.10922260045505544,0.8712990733202364,102.95428354234124,45.052376606079925,1.9875822291237633e-05,1.7018610175223436e-05,0.011814897655622963,0.0118148976556256,1.7763568394002505e-15,1500,True,0.040700905021834946,0.19037118467803965,3.481562852859497,476.859375,False,projected_kkt 1.18e-02 >= 1e-06; inverse_surplus 1.18e-02 >= 1e-06 with no active box bound
0,0.25,fixed_reference_nash,ok,True,0.02028498688226695,0.029999943509449765,2.373739852595813e-08,0.025167618306841694,0.03222088324644202,0.8389221899339269,-13.781798906041754,True,0.12386215560546683,1.154855741039422,108.22710908959039,60.94475615700617,0.0,0.0,6.938893903907228e-18,0.0,1.7763568394002505e-15,34,False,0.0868104580622612,0.07525168127451978,0.021990299224853516,476.859375,False,
